handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_3b374b7f-43b4-85a9-e053-2b83851934d8,Product,human forms jacket,"<p>this jacket features elements of the human body ranging from line paintings to hand prints to anatomical hearts.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>size XL</li>	<li>dark wash</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_64c4ed92ec59446cbd501bff24e1edaf~mv2.jpg;bbe0dd_0cd8ed945f41483cac00ec6af393baf9~mv2.jpg;bbe0dd_c4a08c09d99544248aaf7a9bfb0df8f0~mv2.png,gemma x august jane collaboration,,,200,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_6f57cb51-677d-e86c-c4b2-aeba2c0cfc87,Product,other worlds jacket,"<p>an eclectic of designs that wrap together for a time warp.</p><p>&nbsp;</p><ul>	<li>hand painted</li>	<li>size L&nbsp;</li>	<li>dark wash</li>	<li>vintage levi's</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_e4f3912f6e484bf3a255f0227273fb8f~mv2.jpg;bbe0dd_06c4b991850845b89f4ea06f790e8802~mv2.png;bbe0dd_90c57e9a497e4787a4cd02a84637351f~mv2.jpg,gemma x august jane collaboration,,,220,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_21d87434-de44-cc91-a75a-40b948b28394,Product,frida jacket,"<p>inspired by the iconic Frida Kahlo, this jacket depicts a monochrome portrait overlaying this legend on a pink background.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>dark wash denim&nbsp;</li>	<li>size 12 (best fit size small)&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_8fe3000b425745d88a43554cffc5c35a~mv2.jpg;bbe0dd_55ed3ae96c824bbb957a46da40490183~mv2.jpg;bbe0dd_7333f263f3fb4d8a8a997bf590174c9e~mv2.jpg,gemma x august jane collaboration,,,200,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_9b470ed8-0f85-db6e-c938-3b88415730f1,Product,garden party jeans,"<p>you will feel good wearing these beauties of nature: sunflowers, dandelions and monarch butterflies.</p><p>&nbsp;</p><ul>	<li>hand painted</li>	<li>W 27 inches&nbsp;</li>	<li>inseam 29 inches&nbsp;</li>	<li>frayed hem&nbsp;</li>	<li>high waisted</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_67408df59db64f25a2781d1be4daba90~mv2.jpg;bbe0dd_b8d07fe1305b42a9b82677faf3177ee1~mv2.jpg;bbe0dd_0dd8538b327e4bd88a33d7e8876c6efc~mv2.jpg;bbe0dd_bfc8b3099b5944fa807fc264b130cccc~mv2.jpg,gemma x august jane collaboration,,,120,,TRUE,PERCENT,0,0,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_75becda9-f0c3-98af-91b4-b1829279ddb7,Product,wildflowers jeans,"<p>so groovy and one of a kind - these jeans are adorned with wildflowers, a leopard and an eye.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 36 inches</li>	<li>inseam 32 inches</li>	<li>lowrise</li>	<li>vintage lee's&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_cac29fe191d04c98bcf629fba2c83e66~mv2.jpg;bbe0dd_3dab6249d5014dabb05da3d22f3741b7~mv2.jpg;bbe0dd_55ad3579b18849f0bbebd3eafa4ee00d~mv2.jpg,gemma x august jane collaboration,,,120,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_0b1e0f45-bbe8-be51-b495-5b315e05cf94,Product,flag girl shorts,"<p>a checkered front pocket with pink flames on the back. simply cool.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 26 inches</li>	<li>inseam 4 inches</li>	<li>high waisted&nbsp;</li>	<li>distressed&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spotclean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_9e4d3b560c36482e9914ae185fcc7251~mv2.jpg;bbe0dd_4f76bb9c3c10475d823b79d2eb659f41~mv2.jpg;bbe0dd_de2a373b72934d91b13dc7b14a980dd6~mv2.jpg;bbe0dd_fc32c44d0ca24aa39e315c9dd0344bcc~mv2.jpg,gemma x august jane collaboration,,,70,,TRUE,PERCENT,0,0,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_af6c0dec-7aaf-0858-7f2e-e18dc3721961,Product,over the rainbow jeans,"<p>a groovy painted collage of toadstools and sunflowers, featuring a rainbow and a glowing sun.</p><p>&nbsp;</p><ul>	<li>hand painted</li>	<li>W 29 inches</li>	<li>inseam 30 inches&nbsp;</li>	<li>kick flare&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_afa232d3f5db4b12bcc545028daa738f~mv2.jpg;bbe0dd_74b380147a2b40888530d5fdbfee11df~mv2.jpg;bbe0dd_84502a0b232d444b8c615293dc896989~mv2.jpg;bbe0dd_f42033a79f23450b9df310f54fd2ade8~mv2.jpg;bbe0dd_4d27d1fbe6b64d58a073f33331ecfcb1~mv2.jpg;bbe0dd_132a2e31eff54810ace4b009a5ad69dd~mv2.jpg,gemma x august jane collaboration,,,120,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_30031b35-bb08-2f96-ddb4-65cbf2301c27,Product,game over jeans,"<p>these flaming hot jeans feature glitching screens and a checkered pocket.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 26 inches</li>	<li>inseam 30 inches</li>	<li>high rise&nbsp;</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_4a32d53ef0fe46179a6f5b08290dca69~mv2.jpg;bbe0dd_f5fd4c13286d474b9a71b360d2da1e84~mv2.jpg;bbe0dd_96fdee8e33704a2285e237c03c59907d~mv2.jpg;bbe0dd_aca0f3eb992c4310963e47c86cd38417~mv2.jpg,gemma x august jane collaboration,,,100,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_a1081df6-20bf-213f-c519-fc3e1e1628bf,Product,brighter days jeans,"<p>inspired by nature, these jeans feature vibrant colors to brighten up your day.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 30 inches&nbsp;</li>	<li>H 42 inches&nbsp;</li>	<li>Inseam 30 inches</li>	<li>high-waisted</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_8ef88c0b3be94258bb3e89a50fbb0bfb~mv2.jpg;bbe0dd_1347c6fee37e48dba22f5029282c5119~mv2.jpg;bbe0dd_a909fdffb6fd4b7bbceed36c12ec2950~mv2.jpg;bbe0dd_db320e4e4b6342178ecb366999c5d2e4~mv2.jpg;bbe0dd_91b437cd64d545d4a6152221b70cee6d~mv2.jpg,gemma x august jane collaboration,,,120,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_98fdfdcb-fc01-0b55-4c3a-a1208b83a70f,Product,eye on the prize levi's,"<p>one of a kind vintage levi's with a&nbsp;gaze from a painterly eye on the back pocket.</p><p>&nbsp;</p><ul>	<li>hand-painted</li>	<li>W 27 inches L 32 inches&nbsp;</li>	<li>lowrise&nbsp;</li>	<li>button fly&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only</li>	<li><strong>wearable art</strong></li></ul>",bbe0dd_a5f104488371482fb369b93edbfbc344~mv2.jpg;bbe0dd_009863fefd5146b59066b2178d37284c~mv2.jpg;bbe0dd_6759af46c70c4a7ebfee7bc0d04fd87f~mv2.jpg,gemma x august jane collaboration,,,75,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_88ee17dc-2a1a-85bd-b51b-743df21c07f3,Product,jane reversible bucket,"<p>The perfect bucket hat for summer. Groovy florals on one side for any festival or beach party you are attending, and corduroy on the other for more chill days.&nbsp;</p><p>&nbsp;</p><ul>	<li>Reversable</li>	<li>Pastel florals</li>	<li>Beige corduroy</li>	<li>Hand-made in New Zealand</li></ul>",bbe0dd_123c70842aa347cea79f33930ba8eae3~mv2.jpeg;bbe0dd_8dba20e66be24b8c9073f15a13f65016~mv2.jpeg;bbe0dd_8bf7141b5a174737bd84cb6db9d1088a~mv2.jpeg;bbe0dd_70ad41a55d9a451f84818eccc1c1172f~mv2.jpeg,our handmade label,,,45,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,S/M;L/XL,,,,,,,,,,,,,,,,RETURN POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,Order Notes,500,FALSE,,,
product_c9335f9b-694d-49e3-e785-50d233a754bc,Product,marni dress,"<p>You won't be able to stop twirling in the&nbsp;marni. Made with 100% linen fabric in color shell,&nbsp;&nbsp;add fabric flowers for an extra touch.&nbsp;</p><p>&nbsp;</p><ul>	<li>Puff sleeves with shirred cuff&nbsp;</li>	<li>Square &nbsp;neck-line</li>	<li>Pleated skirt</li>	<li>Invisible side zip&nbsp;</li>	<li>Hand-made in New Zealand</li></ul><p>&nbsp;</p><p>Model is 5'8"" and 27' Waist. She is wearing a Size Medium.&nbsp;</p>",bbe0dd_eba22cf79b1648c6b0b601e100185ad2~mv2.jpg;bbe0dd_106f9eed1f9845ad8789625616593e26~mv2.jpg;bbe0dd_95d8b1161442480f95ca2dd292281ffb~mv2.jpg;bbe0dd_2bb6421e32c149bba97b67e4a01ccae9~mv2.jpeg,our handmade label,,,149,,TRUE,PERCENT,0,InStock,0,Add Fabric Flowers,COLOR,#FFFAFA:White Flowers,,,,,,,,,,,,,,,,Return Policy,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFORMATION,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order.Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,Order Notes,500,FALSE,,,
product_c9335f9b-694d-49e3-e785-50d233a754bc,Variant,,,,,,,,70,TRUE,,,InStock,,,,#FFFAFA:White Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1e946f89-cf1a-e9a4-2661-2d9ec559d2f2,Product,rosalie blouse,"<p>The perfect addition to any wardrobe. Made&nbsp;in&nbsp;100% linen&nbsp;fabric.&nbsp;</p><p>&nbsp;</p><ul>	<li>Square neckline</li>	<li>Puff sleeves</li>	<li>Open Back&nbsp;</li>	<li>Bow tie for closure</li>	<li>Hand-made in New Zealand</li></ul>",bbe0dd_45f8d5cb2a474af6b337bc05f87d9d31~mv2.jpeg;bbe0dd_95be89a60d914c05b4c4e07dc046b9c0~mv2.jpeg;bbe0dd_faae0819f8834e10a42e5c9921a7c1d0~mv2.jpg;bbe0dd_d870dbbb4b4a422881abd8889bc4042e~mv2.jpg;bbe0dd_dfacc83290144edf888e57be3f17e83a~mv2.jpg,our handmade label,,,79,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,XS;S;M;L;XL;XXL,Color,COLOR,#E7BCBC:Shell;#ffffff:White,,,,,,,,,,,,,RETURN POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,
product_6b6778b4-c626-c00d-972c-b138d85e3f07,Product,blossom mini dress,"<p>There is nothing quite like this hand-beaded blossom baby-doll dress. Each one is unique with hand-beaded fabric flowers and elegant peach beads.&nbsp;</p><p>&nbsp;</p><ul>	<li>Baby doll style&nbsp;</li>	<li>Square neckline</li>	<li>Puff sleeves</li>	<li>Pleated hem&nbsp;</li>	<li>100% Linen</li>	<li>Pull on style for ease</li>	<li>Bow in the back</li>	<li>Hand-made</li></ul>",bbe0dd_6c52ba2f9b4241b88cf01955db900bba~mv2.jpg;bbe0dd_46e1114f3f4a43279d4e20ed8c332f68~mv2.jpg;bbe0dd_36fa06c9354047f49ba475e9f3c50e03~mv2.jpg;bbe0dd_e2caf0427ec0445bbda95aac07a71adc~mv2.jpg;bbe0dd_5c4de3310789426c9335ac8a00630117~mv2.jpg;bbe0dd_8502b7f2f9174be0a46f3cb2c7b99d5c~mv2.jpg,our handmade label,6.32836E+14,,169,,TRUE,AMOUNT,39,InStock,0,Size,DROP_DOWN,XS;S;M;L;XL;XXL,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order.&nbsp;Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,
product_ea77f230-558f-57b6-cdd1-0ba565e8f827,Product,gabby mini dress,"<p>A beautiful royal blue mini dress that adds the perfect pop of color to any wardrobe.&nbsp;</p><p>&nbsp;</p><ul>	<li>Sheer&nbsp;</li>	<li>Daisy embroidered organza fabric</li>	<li>Babydoll silhouette&nbsp;</li>	<li>Puff sleeves</li>	<li>Square neckline&nbsp;</li>	<li>Pull-on style for ease</li>	<li>Bow in the back&nbsp;</li>	<li>Hand-made</li></ul>",bbe0dd_2e2666331ce7411caeb5cb49e8b9cba9~mv2.jpg;bbe0dd_d4e2aa062aca4e5abbcb6e8a577e51c7~mv2.jpg;bbe0dd_470d0b061bd848a1a7a11227e92e2885~mv2.jpg;bbe0dd_7619549df626488985a9fd05a41e3894~mv2.jpg;bbe0dd_95ce4eb122be47a7863c0c5c3dbaecf8~mv2.jpg,our handmade label,3.64215E+14,,169,,TRUE,AMOUNT,59,4,0,Size,DROP_DOWN,XS;S;M;XL;XXL,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order.&nbsp;Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.&nbsp;</p>
",,,,,,,,,,,,,,
